X,Y,Z,U,V,W,MoveTime(ms)
-24.323,5.51,235.021,-0.163,0.126,-0.129,1
-24.422,5.862,234.727,-0.171,0.124,-0.131,1
-24.567,6.182,234.477,-0.176,0.123,-0.132,1
-24.762,6.467,234.291,-0.179,0.123,-0.132,1
-25.007,6.729,234.181,-0.179,0.124,-0.131,1
-25.303,6.975,234.145,-0.178,0.126,-0.131,1
-25.665,7.191,234.172,-0.179,0.13,-0.131,1
-26.102,7.361,234.256,-0.179,0.138,-0.129,1
-26.611,7.494,234.398,-0.177,0.148,-0.124,1
-27.183,7.615,234.595,-0.173,0.161,-0.119,1
-27.808,7.733,234.852,-0.168,0.176,-0.114,1
-28.482,7.843,235.176,-0.161,0.194,-0.108,1
-29.198,7.935,235.557,-0.153,0.212,-0.099,1
-29.944,8.013,235.988,-0.145,0.231,-0.088,1
-30.706,8.076,236.479,-0.137,0.249,-0.074,1
-31.477,8.123,237.044,-0.128,0.267,-0.059,1
-32.257,8.151,237.666,-0.118,0.286,-0.043,1
-33.039,8.161,238.336,-0.107,0.306,-0.029,1
-33.811,8.169,239.042,-0.094,0.326,-0.018,1
-34.563,8.186,239.767,-0.084,0.345,-0.008,1
-35.289,8.208,240.506,-0.077,0.362,0.001,1
-35.984,8.225,241.254,-0.073,0.378,0.009,1
-36.643,8.24,242.006,-0.071,0.394,0.017,1
-37.263,8.264,242.753,-0.071,0.41,0.025,1
-37.842,8.29,243.495,-0.07,0.425,0.032,1
-38.38,8.308,244.229,-0.068,0.439,0.04,1
-38.876,8.319,244.943,-0.062,0.451,0.051,1
-39.331,8.332,245.632,-0.054,0.46,0.061,1
-39.746,8.346,246.287,-0.047,0.465,0.069,1
-40.129,8.346,246.906,-0.04,0.467,0.076,1
-40.492,8.319,247.479,-0.035,0.468,0.083,1
-40.835,8.266,247.982,-0.03,0.467,0.089,1
-41.153,8.201,248.396,-0.025,0.463,0.094,1
-41.444,8.142,248.71,-0.022,0.456,0.099,1
-41.711,8.091,248.923,-0.021,0.448,0.104,1
-41.954,8.031,249.053,-0.019,0.439,0.111,1
-42.169,7.958,249.126,-0.016,0.428,0.119,1
-42.359,7.885,249.141,-0.013,0.415,0.128,1
-42.527,7.814,249.1,-0.011,0.402,0.138,1
-42.686,7.738,249.015,-0.009,0.39,0.149,1
-42.832,7.649,248.89,-0.007,0.377,0.159,1
-42.96,7.547,248.737,-0.005,0.362,0.168,1
-43.07,7.436,248.558,-0.005,0.345,0.175,1
-43.163,7.317,248.34,-0.005,0.328,0.181,1
-43.23,7.192,248.08,-0.004,0.312,0.187,1
-43.269,7.071,247.789,-0.003,0.293,0.193,1
-43.278,6.962,247.476,-0.004,0.271,0.2,1
-43.267,6.859,247.144,-0.004,0.249,0.207,1
-43.247,6.766,246.787,-0.001,0.227,0.215,1
-43.218,6.681,246.414,0.001,0.205,0.225,1
-43.169,6.604,246.04,0.003,0.185,0.234,1
-43.095,6.531,245.676,0.004,0.165,0.243,1
-42.993,6.462,245.324,0.003,0.146,0.246,1
-42.862,6.402,244.982,-0.002,0.127,0.245,1
-42.696,6.357,244.655,-0.007,0.108,0.243,1
-42.499,6.325,244.356,-0.01,0.09,0.241,1
-42.272,6.3,244.087,-0.012,0.073,0.237,1
-42.021,6.283,243.833,-0.013,0.057,0.233,1
-41.752,6.279,243.588,-0.014,0.043,0.228,1
-41.471,6.286,243.359,-0.016,0.031,0.222,1
-41.184,6.302,243.151,-0.018,0.021,0.217,1
-40.893,6.327,242.971,-0.018,0.015,0.213,1
-40.599,6.361,242.827,-0.018,0.009,0.209,1
-40.302,6.404,242.717,-0.017,0.001,0.204,1
-40.011,6.458,242.65,-0.014,-0.008,0.199,1
-39.73,6.519,242.633,-0.012,-0.013,0.195,1
-39.457,6.589,242.665,-0.011,-0.017,0.191,1
-39.188,6.676,242.748,-0.009,-0.022,0.185,1
-38.923,6.775,242.884,-0.007,-0.025,0.177,1
-38.664,6.878,243.066,-0.006,-0.026,0.17,1
-38.419,6.983,243.266,-0.004,-0.027,0.166,1
-38.186,7.092,243.465,-0.001,-0.029,0.164,1
-37.965,7.209,243.641,0.003,-0.032,0.162,1
-37.75,7.338,243.779,0.006,-0.037,0.158,1
-37.54,7.478,243.888,0.009,-0.042,0.153,1
-37.331,7.621,243.974,0.013,-0.049,0.146,1
-37.122,7.763,244.04,0.015,-0.056,0.138,1
-36.908,7.904,244.093,0.017,-0.061,0.131,1
-36.688,8.044,244.143,0.02,-0.064,0.124,1
-36.459,8.178,244.192,0.026,-0.066,0.116,1
-36.225,8.3,244.239,0.033,-0.07,0.106,1
-35.983,8.413,244.276,0.04,-0.078,0.096,1
-35.739,8.52,244.288,0.045,-0.087,0.086,1
-35.497,8.626,244.26,0.049,-0.098,0.073,1
-35.269,8.735,244.193,0.053,-0.11,0.059,1
-35.06,8.849,244.07,0.057,-0.122,0.048,1
-34.865,8.955,243.891,0.064,-0.13,0.041,1
-34.681,9.044,243.664,0.072,-0.138,0.034,1
-34.511,9.122,243.388,0.08,-0.149,0.025,1
-34.358,9.187,243.073,0.087,-0.159,0.015,1
-34.217,9.233,242.739,0.094,-0.165,0.008,1
-34.088,9.258,242.405,0.1,-0.169,0.003,1
-33.969,9.258,242.079,0.103,-0.172,0.001,1
-33.86,9.236,241.77,0.105,-0.175,-0.004,1
-33.756,9.198,241.484,0.107,-0.181,-0.011,1
-33.654,9.147,241.225,0.108,-0.187,-0.018,1
-33.555,9.082,240.971,0.111,-0.193,-0.024,1
-33.465,9.005,240.698,0.114,-0.197,-0.029,1
-33.381,8.926,240.398,0.119,-0.202,-0.033,1
-33.301,8.855,240.072,0.122,-0.206,-0.036,1
-33.224,8.788,239.736,0.122,-0.21,-0.04,1
-33.151,8.721,239.41,0.121,-0.217,-0.047,1
-33.083,8.655,239.108,0.123,-0.228,-0.054,1
-33.023,8.587,238.84,0.126,-0.237,-0.06,1
-32.98,8.511,238.597,0.125,-0.24,-0.063,1
-32.958,8.424,238.372,0.122,-0.239,-0.066,1
-32.96,8.322,238.163,0.121,-0.237,-0.069,1
-32.98,8.202,237.981,0.12,-0.235,-0.071,1
-33.015,8.062,237.837,0.119,-0.233,-0.073,1
-33.061,7.909,237.736,0.116,-0.229,-0.074,1
-33.121,7.738,237.684,0.112,-0.222,-0.075,1
-33.196,7.549,237.688,0.108,-0.213,-0.078,1
-33.289,7.346,237.742,0.104,-0.203,-0.081,1
-33.396,7.133,237.819,0.1,-0.193,-0.082,1
-33.513,6.912,237.911,0.093,-0.184,-0.083,1
-33.641,6.683,238.027,0.085,-0.175,-0.083,1
-33.778,6.446,238.172,0.08,-0.165,-0.082,1
-33.92,6.207,238.343,0.077,-0.153,-0.08,1
-34.066,5.972,238.537,0.073,-0.139,-0.078,1
-34.216,5.738,238.765,0.068,-0.124,-0.077,1
-34.366,5.495,239.016,0.062,-0.11,-0.076,1
-34.508,5.24,239.271,0.055,-0.096,-0.075,1
-34.64,4.983,239.522,0.049,-0.082,-0.072,1
-34.765,4.728,239.776,0.045,-0.07,-0.071,1
-34.887,4.467,240.029,0.043,-0.057,-0.07,1
-35.009,4.201,240.281,0.04,-0.043,-0.069,1
-35.13,3.936,240.533,0.037,-0.03,-0.067,1
-35.251,3.673,240.795,0.032,-0.016,-0.064,1
-35.374,3.41,241.072,0.027,-0.003,-0.059,1
-35.502,3.151,241.355,0.025,0.009,-0.052,1
-35.633,2.894,241.632,0.026,0.02,-0.046,1
-35.756,2.64,241.917,0.026,0.031,-0.04,1
-35.869,2.402,242.205,0.023,0.04,-0.037,1
-35.971,2.175,242.472,0.016,0.049,-0.036,1
-36.069,1.953,242.691,0.008,0.058,-0.034,1
-36.165,1.745,242.859,0.006,0.068,-0.033,1
-36.256,1.551,242.979,0.003,0.077,-0.031,1
