X,Y,Z,U,V,W,MoveTime(ms)
-13.735,0.155,244.049,-0.025,-0.324,-0.214,1
-13.102,0.372,244.4,-0.015,-0.333,-0.233,1
-12.432,0.614,244.685,-0.003,-0.342,-0.254,1
-11.735,0.888,244.915,0.009,-0.349,-0.279,1
-11.026,1.177,245.1,0.02,-0.355,-0.301,1
-10.32,1.458,245.253,0.029,-0.357,-0.317,1
-9.635,1.713,245.384,0.035,-0.355,-0.329,1
-8.974,1.948,245.486,0.042,-0.349,-0.339,1
-8.337,2.17,245.548,0.05,-0.341,-0.35,1
-7.723,2.372,245.553,0.056,-0.334,-0.361,1
-7.141,2.542,245.494,0.062,-0.33,-0.372,1
-6.597,2.684,245.376,0.069,-0.323,-0.381,1
-6.095,2.79,245.208,0.074,-0.313,-0.388,1
-5.644,2.848,245,0.079,-0.3,-0.391,1
-5.246,2.857,244.759,0.086,-0.286,-0.39,1
-4.897,2.829,244.511,0.093,-0.273,-0.388,1
-4.603,2.77,244.246,0.099,-0.259,-0.385,1
-4.368,2.684,243.941,0.106,-0.245,-0.381,1
-4.187,2.571,243.601,0.113,-0.23,-0.373,1
-4.053,2.429,243.238,0.122,-0.217,-0.361,1
-3.96,2.253,242.858,0.131,-0.203,-0.346,1
-3.905,2.045,242.465,0.14,-0.193,-0.331,1
-3.87,1.825,242.088,0.148,-0.186,-0.315,1
-3.843,1.617,241.744,0.155,-0.179,-0.299,1
-3.818,1.426,241.428,0.16,-0.169,-0.282,1
-3.792,1.235,241.135,0.163,-0.16,-0.267,1
-3.753,1.041,240.858,0.161,-0.15,-0.253,1
-3.691,0.859,240.594,0.158,-0.143,-0.239,1
-3.601,0.692,240.341,0.156,-0.14,-0.224,1
-3.489,0.525,240.106,0.154,-0.136,-0.211,1
-3.361,0.358,239.901,0.151,-0.132,-0.197,1
-3.211,0.207,239.736,0.144,-0.131,-0.184,1
-3.046,0.085,239.627,0.136,-0.129,-0.171,1
-2.87,-0.012,239.582,0.128,-0.126,-0.162,1
-2.688,-0.099,239.587,0.121,-0.122,-0.154,1
-2.5,-0.187,239.627,0.115,-0.118,-0.149,1
-2.315,-0.267,239.705,0.11,-0.111,-0.146,1
-2.147,-0.342,239.824,0.103,-0.103,-0.145,1
-2.006,-0.424,239.989,0.097,-0.092,-0.145,1
-1.895,-0.509,240.217,0.089,-0.082,-0.143,1
-1.815,-0.592,240.526,0.08,-0.073,-0.138,1
-1.777,-0.681,240.911,0.069,-0.063,-0.131,1
-1.788,-0.781,241.35,0.062,-0.049,-0.123,1
-1.854,-0.889,241.836,0.058,-0.034,-0.112,1
-1.978,-0.999,242.356,0.055,-0.016,-0.099,1
-2.154,-1.116,242.888,0.05,0.002,-0.087,1
-2.381,-1.247,243.423,0.045,0.02,-0.078,1
-2.657,-1.393,243.96,0.039,0.038,-0.069,1
-2.979,-1.553,244.493,0.032,0.058,-0.058,1
-3.341,-1.724,245.029,0.028,0.076,-0.045,1
-3.741,-1.897,245.567,0.025,0.091,-0.034,1
-4.181,-2.06,246.072,0.02,0.106,-0.024,1
-4.662,-2.212,246.515,0.011,0.122,-0.015,1
-5.177,-2.348,246.894,-0.001,0.139,-0.004,1
-5.721,-2.462,247.214,-0.013,0.155,0.008,1
-6.288,-2.557,247.478,-0.024,0.169,0.021,1
-6.877,-2.635,247.683,-0.033,0.18,0.032,1
-7.487,-2.692,247.825,-0.04,0.189,0.041,1
-8.118,-2.726,247.899,-0.046,0.198,0.048,1
-8.764,-2.733,247.901,-0.054,0.208,0.051,1
-9.422,-2.7,247.83,-0.06,0.22,0.057,1
-10.082,-2.626,247.682,-0.068,0.232,0.064,1
-10.74,-2.515,247.458,-0.074,0.241,0.072,1
-11.396,-2.363,247.161,-0.082,0.248,0.077,1
-12.053,-2.172,246.795,-0.091,0.255,0.079,1
-12.713,-1.953,246.367,-0.099,0.259,0.078,1
-13.377,-1.707,245.9,-0.105,0.261,0.078,1
-14.045,-1.425,245.417,-0.11,0.266,0.077,1
-14.722,-1.105,244.924,-0.115,0.272,0.076,1
-15.418,-0.754,244.417,-0.119,0.275,0.073,1
-16.133,-0.385,243.915,-0.121,0.275,0.069,1
-16.863,-0.009,243.429,-0.122,0.274,0.067,1
-17.608,0.367,242.959,-0.122,0.275,0.067,1
-18.362,0.74,242.507,-0.124,0.278,0.068,1
-19.124,1.109,242.087,-0.127,0.284,0.069,1
-19.888,1.474,241.708,-0.127,0.291,0.07,1
-20.654,1.837,241.384,-0.126,0.298,0.071,1
-21.414,2.2,241.133,-0.125,0.309,0.071,1
-22.167,2.569,240.957,-0.123,0.324,0.069,1
-22.911,2.943,240.867,-0.121,0.34,0.07,1
-23.638,3.315,240.877,-0.117,0.355,0.071,1
-24.339,3.682,240.968,-0.113,0.366,0.071,1
-25.01,4.038,241.129,-0.106,0.378,0.07,1
-25.654,4.373,241.369,-0.095,0.391,0.069,1
-26.274,4.685,241.69,-0.085,0.406,0.067,1
-26.868,4.985,242.071,-0.077,0.42,0.062,1
-27.43,5.279,242.49,-0.071,0.431,0.058,1
-27.951,5.56,242.949,-0.066,0.439,0.056,1
-28.43,5.814,243.446,-0.06,0.445,0.057,1
-28.865,6.028,243.978,-0.05,0.451,0.06,1
-29.248,6.203,244.542,-0.037,0.454,0.063,1
-29.573,6.346,245.14,-0.025,0.454,0.064,1
-29.84,6.457,245.744,-0.015,0.453,0.064,1
-30.057,6.54,246.328,-0.005,0.449,0.065,1
-30.233,6.601,246.887,0.005,0.441,0.066,1
-30.378,6.638,247.411,0.016,0.432,0.066,1
-30.5,6.646,247.885,0.028,0.42,0.065,1
-30.596,6.627,248.315,0.037,0.405,0.064,1
-30.668,6.584,248.73,0.045,0.391,0.066,1
-30.722,6.514,249.135,0.052,0.376,0.069,1
-30.761,6.41,249.516,0.058,0.36,0.07,1
-30.786,6.269,249.866,0.063,0.346,0.072,1
-30.799,6.095,250.179,0.067,0.335,0.076,1
-30.805,5.895,250.457,0.072,0.319,0.079,1
-30.801,5.672,250.714,0.081,0.303,0.084,1
-30.785,5.417,250.942,0.09,0.287,0.089,1
-30.756,5.128,251.122,0.096,0.271,0.095,1
-30.713,4.805,251.255,0.099,0.255,0.102,1
-30.652,4.457,251.345,0.098,0.241,0.113,1
-30.573,4.088,251.389,0.097,0.227,0.125,1
-30.479,3.705,251.393,0.096,0.213,0.133,1
-30.371,3.31,251.358,0.098,0.201,0.138,1
-30.246,2.897,251.281,0.1,0.189,0.141,1
-30.1,2.466,251.166,0.104,0.177,0.145,1
-29.934,2.024,251.02,0.104,0.164,0.153,1
-29.748,1.582,250.846,0.1,0.148,0.163,1
-29.538,1.154,250.648,0.094,0.132,0.171,1
-29.307,0.745,250.428,0.091,0.117,0.177,1
-29.057,0.354,250.196,0.093,0.103,0.183,1
-28.782,-0.024,249.963,0.095,0.091,0.189,1
-28.481,-0.38,249.73,0.098,0.078,0.196,1
-28.156,-0.702,249.488,0.098,0.066,0.201,1
-27.817,-0.982,249.237,0.097,0.056,0.205,1
-27.469,-1.216,248.979,0.095,0.049,0.208,1
-27.119,-1.406,248.7,0.09,0.042,0.21,1
-26.779,-1.566,248.401,0.086,0.036,0.208,1
-26.456,-1.704,248.093,0.081,0.032,0.204,1
-26.155,-1.815,247.788,0.074,0.027,0.202,1
-25.875,-1.888,247.497,0.063,0.021,0.201,1
-25.622,-1.93,247.236,0.052,0.016,0.2,1
-25.404,-1.961,247.016,0.041,0.013,0.198,1
-25.229,-1.992,246.838,0.032,0.011,0.197,1
-25.095,-2.02,246.7,0.023,0.01,0.193,1
-25.001,-2.046,246.608,0.013,0.01,0.189,1
-24.946,-2.074,246.566,0.003,0.011,0.187,1
-24.93,-2.097,246.572,-0.007,0.01,0.185,1
-24.951,-2.11,246.628,-0.015,0.012,0.181,1
-25.011,-2.115,246.735,-0.023,0.016,0.177,1
-25.111,-2.12,246.891,-0.031,0.025,0.173,1
-25.253,-2.128,247.079,-0.04,0.034,0.171,1
-25.436,-2.13,247.283,-0.05,0.04,0.171,1
-25.664,-2.121,247.496,-0.06,0.045,0.174,1
-25.937,-2.106,247.731,-0.067,0.05,0.178,1
-26.253,-2.09,248.003,-0.075,0.055,0.181,1
-26.613,-2.079,248.299,-0.083,0.061,0.181,1
-27.018,-2.08,248.622,-0.091,0.069,0.184,1
-27.472,-2.093,248.951,-0.099,0.079,0.187,1
-27.962,-2.113,249.266,-0.105,0.091,0.189,1
-28.478,-2.137,249.57,-0.112,0.103,0.191,1
-29.019,-2.157,249.865,-0.118,0.113,0.19,1
-29.591,-2.172,250.134,-0.124,0.121,0.189,1
-30.194,-2.183,250.359,-0.128,0.13,0.184,1
-30.818,-2.187,250.539,-0.13,0.143,0.179,1
-31.451,-2.18,250.689,-0.132,0.155,0.176,1
-32.081,-2.168,250.815,-0.135,0.164,0.174,1
-32.701,-2.151,250.903,-0.139,0.171,0.171,1
-33.304,-2.119,250.942,-0.144,0.176,0.168,1
-33.883,-2.063,250.938,-0.148,0.179,0.164,1
-34.432,-1.983,250.886,-0.152,0.183,0.16,1
-34.941,-1.891,250.796,-0.158,0.186,0.156,1
-35.405,-1.785,250.687,-0.164,0.188,0.149,1
-35.827,-1.658,250.547,-0.168,0.189,0.141,1
-36.211,-1.498,250.356,-0.17,0.186,0.134,1
-36.558,-1.315,250.134,-0.17,0.182,0.127,1
-36.866,-1.116,249.902,-0.168,0.177,0.12,1
-37.134,-0.894,249.664,-0.167,0.171,0.112,1
-37.359,-0.645,249.417,-0.165,0.164,0.101,1
-37.539,-0.374,249.154,-0.161,0.155,0.091,1
-37.674,-0.086,248.866,-0.158,0.143,0.081,1
-37.762,0.22,248.559,-0.156,0.129,0.07,1
-37.807,0.536,248.262,-0.155,0.116,0.056,1
-37.812,0.837,247.989,-0.154,0.103,0.043,1
-37.784,1.11,247.736,-0.154,0.086,0.031,1
-37.724,1.36,247.506,-0.154,0.066,0.02,1
-37.634,1.6,247.3,-0.155,0.043,0.011,1
-37.517,1.833,247.108,-0.153,0.018,0.001,1
-37.377,2.049,246.925,-0.148,-0.009,-0.007,1
-37.221,2.239,246.751,-0.141,-0.036,-0.016,1
-37.058,2.4,246.581,-0.133,-0.065,-0.024,1
-36.894,2.534,246.407,-0.125,-0.094,-0.029,1
-36.73,2.642,246.236,-0.116,-0.121,-0.032,1
-36.564,2.725,246.081,-0.107,-0.148,-0.034,1
-36.396,2.783,245.952,-0.097,-0.174,-0.035,1
-36.223,2.815,245.859,-0.087,-0.199,-0.038,1
-36.043,2.822,245.8,-0.079,-0.226,-0.039,1
-35.856,2.799,245.768,-0.073,-0.253,-0.039,1
-35.665,2.747,245.758,-0.066,-0.278,-0.038,1
-35.468,2.667,245.777,-0.058,-0.302,-0.037,1
-35.26,2.567,245.848,-0.051,-0.326,-0.036,1
-35.035,2.458,245.976,-0.047,-0.345,-0.035,1
-34.786,2.342,246.153,-0.045,-0.359,-0.034,1
-34.509,2.225,246.369,-0.042,-0.367,-0.034,1
-34.21,2.116,246.591,-0.038,-0.37,-0.031,1
-33.894,2.016,246.791,-0.031,-0.37,-0.028,1
-33.566,1.923,246.962,-0.024,-0.367,-0.027,1
-33.226,1.844,247.122,-0.015,-0.363,-0.027,1
-32.87,1.787,247.279,-0.007,-0.354,-0.027,1
-32.502,1.755,247.43,-0.002,-0.343,-0.028,1
-32.118,1.739,247.58,0.002,-0.329,-0.03,1
-31.728,1.73,247.723,0.007,-0.315,-0.033,1
-31.331,1.735,247.833,0.014,-0.301,-0.037,1
-30.919,1.76,247.892,0.021,-0.286,-0.04,1
-30.491,1.802,247.906,0.026,-0.269,-0.044,1
-30.054,1.854,247.881,0.027,-0.251,-0.047,1
-29.614,1.915,247.819,0.025,-0.234,-0.051,1
-29.175,1.992,247.722,0.026,-0.218,-0.055,1
-28.733,2.088,247.594,0.029,-0.204,-0.06,1
-28.299,2.19,247.432,0.033,-0.19,-0.066,1
-27.883,2.293,247.221,0.036,-0.178,-0.071,1
-27.496,2.403,246.945,0.038,-0.167,-0.075,1
-27.149,2.521,246.591,0.039,-0.16,-0.08,1
-26.844,2.643,246.154,0.038,-0.158,-0.084,1
-26.585,2.776,245.645,0.034,-0.155,-0.087,1
-26.374,2.926,245.08,0.028,-0.152,-0.089,1
-26.216,3.092,244.474,0.024,-0.151,-0.091,1
-26.113,3.274,243.836,0.021,-0.153,-0.093,1
-26.064,3.47,243.18,0.017,-0.157,-0.096,1
-26.073,3.669,242.506,0.012,-0.164,-0.099,1
-26.145,3.865,241.822,0.009,-0.17,-0.1,1
-26.277,4.066,241.135,0.007,-0.175,-0.099,1
-26.456,4.271,240.467,0.005,-0.181,-0.098,1
-26.673,4.473,239.847,0.003,-0.187,-0.097,1
-26.928,4.678,239.287,0.002,-0.193,-0.096,1
-27.219,4.892,238.775,0,-0.196,-0.095,1
-27.536,5.113,238.302,-0.003,-0.196,-0.092,1
-27.875,5.336,237.878,-0.006,-0.194,-0.089,1
-28.231,5.568,237.511,-0.011,-0.194,-0.09,1
-28.6,5.805,237.201,-0.017,-0.198,-0.091,1
-28.979,6.045,236.949,-0.022,-0.2,-0.092,1
-29.365,6.303,236.742,-0.026,-0.201,-0.094,1
-29.756,6.591,236.577,-0.029,-0.202,-0.096,1
-30.15,6.905,236.461,-0.033,-0.202,-0.099,1
-30.55,7.238,236.409,-0.039,-0.2,-0.103,1
-30.952,7.587,236.414,-0.044,-0.197,-0.107,1
-31.346,7.952,236.464,-0.047,-0.194,-0.112,1
-31.737,8.341,236.544,-0.047,-0.191,-0.12,1
-32.126,8.754,236.637,-0.047,-0.188,-0.13,1
-32.507,9.189,236.739,-0.051,-0.184,-0.14,1
-32.878,9.649,236.858,-0.056,-0.181,-0.149,1
-33.245,10.129,236.995,-0.061,-0.179,-0.161,1
-33.614,10.611,237.14,-0.065,-0.179,-0.176,1
-33.982,11.083,237.297,-0.067,-0.177,-0.189,1
-34.348,11.543,237.468,-0.069,-0.174,-0.198,1
-34.705,11.988,237.661,-0.071,-0.168,-0.205,1
-35.048,12.411,237.878,-0.074,-0.159,-0.211,1
-35.375,12.814,238.105,-0.077,-0.148,-0.217,1
-35.682,13.196,238.323,-0.079,-0.136,-0.226,1
-35.964,13.555,238.536,-0.079,-0.123,-0.235,1
-36.216,13.889,238.752,-0.081,-0.11,-0.245,1
-36.431,14.206,238.961,-0.081,-0.097,-0.254,1
-36.606,14.521,239.152,-0.08,-0.083,-0.263,1
-36.737,14.843,239.315,-0.077,-0.069,-0.273,1
-36.812,15.171,239.443,-0.073,-0.053,-0.282,1
-36.826,15.501,239.54,-0.067,-0.037,-0.292,1
-36.786,15.827,239.614,-0.061,-0.021,-0.303,1
-36.703,16.15,239.673,-0.056,-0.006,-0.314,1
-36.587,16.47,239.728,-0.052,0.009,-0.324,1
-36.443,16.79,239.787,-0.048,0.023,-0.332,1
-36.277,17.108,239.842,-0.045,0.035,-0.341,1
-36.096,17.421,239.872,-0.042,0.044,-0.349,1
-35.9,17.726,239.867,-0.037,0.053,-0.352,1
-35.683,18.023,239.834,-0.029,0.062,-0.354,1
-35.445,18.31,239.786,-0.02,0.07,-0.357,1
-35.198,18.587,239.722,-0.012,0.078,-0.357,1
-34.958,18.858,239.622,-0.005,0.084,-0.354,1
-34.727,19.124,239.485,0.001,0.089,-0.349,1
-34.505,19.378,239.332,0.007,0.092,-0.34,1
-34.295,19.607,239.179,0.014,0.094,-0.329,1
-34.1,19.806,239.028,0.024,0.097,-0.317,1
-33.918,19.975,238.872,0.035,0.1,-0.305,1
-33.743,20.111,238.709,0.047,0.102,-0.296,1
-33.578,20.211,238.554,0.059,0.105,-0.288,1
-33.419,20.279,238.424,0.071,0.108,-0.278,1
-33.258,20.318,238.318,0.081,0.11,-0.265,1
-33.086,20.331,238.235,0.09,0.112,-0.247,1
-32.902,20.324,238.174,0.097,0.113,-0.227,1
-32.701,20.295,238.138,0.104,0.116,-0.21,1
-32.486,20.233,238.124,0.109,0.119,-0.194,1
-32.253,20.134,238.129,0.115,0.119,-0.179,1
-31.997,20.007,238.152,0.123,0.115,-0.165,1
-31.72,19.858,238.179,0.131,0.107,-0.15,1
-31.421,19.695,238.207,0.138,0.099,-0.134,1
-31.101,19.518,238.25,0.144,0.093,-0.117,1
-30.769,19.322,238.318,0.149,0.088,-0.1,1
-30.43,19.113,238.401,0.154,0.081,-0.086,1
-30.083,18.901,238.491,0.16,0.07,-0.072,1
-29.729,18.681,238.612,0.166,0.055,-0.057,1
-29.377,18.445,238.771,0.171,0.04,-0.041,1
-29.036,18.184,238.963,0.175,0.028,-0.024,1
-28.708,17.89,239.192,0.176,0.018,-0.007,1
-28.402,17.567,239.461,0.178,0.01,0.009,1
-28.132,17.219,239.767,0.18,0.005,0.022,1
-27.901,16.852,240.112,0.18,0.006,0.036,1
-27.711,16.463,240.502,0.179,0.012,0.048,1
-27.565,16.051,240.941,0.179,0.019,0.059,1
-27.471,15.611,241.43,0.177,0.026,0.072,1
-27.422,15.136,241.959,0.174,0.035,0.088,1
-27.414,14.626,242.508,0.171,0.047,0.106,1
-27.447,14.085,243.063,0.167,0.06,0.123,1
-27.52,13.517,243.616,0.164,0.072,0.138,1
-27.619,12.933,244.166,0.165,0.084,0.154,1
-27.737,12.349,244.71,0.166,0.095,0.17,1
-27.872,11.772,245.245,0.165,0.107,0.184,1
-28.021,11.2,245.761,0.16,0.12,0.195,1
-28.179,10.632,246.243,0.155,0.132,0.203,1
-28.342,10.069,246.68,0.149,0.141,0.207,1
-28.508,9.517,247.078,0.142,0.147,0.21,1
-28.671,8.978,247.443,0.133,0.15,0.214,1
-28.828,8.45,247.767,0.124,0.152,0.217,1
-28.979,7.934,248.046,0.115,0.15,0.222,1
-29.127,7.429,248.273,0.104,0.146,0.228,1
-29.277,6.924,248.441,0.092,0.137,0.232,1
-29.431,6.406,248.558,0.081,0.126,0.234,1
-29.587,5.886,248.641,0.07,0.113,0.232,1
-29.742,5.383,248.707,0.058,0.101,0.226,1
-29.894,4.9,248.757,0.045,0.087,0.218,1
-30.047,4.427,248.792,0.032,0.074,0.21,1
-30.202,3.943,248.807,0.02,0.06,0.205,1
-30.361,3.438,248.81,0.01,0.049,0.203,1
-30.525,2.916,248.812,0.003,0.035,0.203,1
-30.69,2.39,248.814,-0.003,0.019,0.203,1
-30.851,1.87,248.82,-0.009,0.003,0.204,1
-31.008,1.355,248.839,-0.018,-0.009,0.204,1
-31.167,0.84,248.88,-0.03,-0.015,0.205,1
-31.333,0.327,248.947,-0.042,-0.018,0.204,1
-31.504,-0.175,249.043,-0.054,-0.021,0.198,1
-31.676,-0.655,249.173,-0.063,-0.023,0.188,1
-31.842,-1.109,249.329,-0.069,-0.024,0.177,1
-31.995,-1.542,249.506,-0.077,-0.026,0.169,1
-32.131,-1.957,249.702,-0.087,-0.03,0.164,1
-32.24,-2.347,249.906,-0.096,-0.033,0.157,1
-32.315,-2.703,250.097,-0.102,-0.034,0.148,1
-32.357,-3.028,250.271,-0.106,-0.034,0.139,1
-32.371,-3.333,250.441,-0.109,-0.034,0.13,1
-32.358,-3.621,250.619,-0.111,-0.034,0.121,1
-32.315,-3.892,250.804,-0.115,-0.034,0.11,1
-32.243,-4.147,250.984,-0.119,-0.032,0.098,1
-32.144,-4.387,251.141,-0.122,-0.028,0.087,1
-32.018,-4.618,251.268,-0.124,-0.025,0.078,1
-31.869,-4.843,251.364,-0.122,-0.024,0.07,1
-31.696,-5.058,251.434,-0.117,-0.025,0.062,1
-31.499,-5.259,251.478,-0.112,-0.026,0.056,1
-31.284,-5.452,251.497,-0.11,-0.029,0.049,1
-31.059,-5.648,251.485,-0.108,-0.033,0.04,1
-30.828,-5.852,251.439,-0.107,-0.037,0.029,1
-30.584,-6.059,251.354,-0.104,-0.04,0.018,1
-30.32,-6.257,251.237,-0.099,-0.045,0.008,1
-30.039,-6.438,251.1,-0.095,-0.05,0.001,1
-29.753,-6.614,250.934,-0.092,-0.057,-0.003,1
-29.466,-6.797,250.731,-0.09,-0.066,-0.005,1
-29.183,-6.986,250.5,-0.087,-0.075,-0.009,1
-28.896,-7.173,250.244,-0.083,-0.083,-0.015,1
-28.605,-7.356,249.955,-0.078,-0.092,-0.021,1
-28.303,-7.539,249.625,-0.071,-0.102,-0.025,1
-27.982,-7.716,249.248,-0.063,-0.114,-0.028,1
-27.64,-7.88,248.824,-0.056,-0.128,-0.033,1
-27.281,-8.038,248.364,-0.051,-0.142,-0.041,1
-26.918,-8.209,247.878,-0.046,-0.157,-0.052,1
-26.558,-8.394,247.386,-0.039,-0.171,-0.061,1
-26.2,-8.577,246.903,-0.032,-0.187,-0.064,1
-25.842,-8.746,246.436,-0.03,-0.203,-0.065,1
-25.488,-8.908,245.983,-0.028,-0.219,-0.065,1
-25.139,-9.071,245.545,-0.026,-0.236,-0.067,1
-24.793,-9.234,245.122,-0.024,-0.251,-0.07,1
-24.444,-9.389,244.711,-0.024,-0.264,-0.072,1
-24.094,-9.538,244.311,-0.027,-0.277,-0.076,1
-23.748,-9.691,243.926,-0.026,-0.29,-0.08,1
-23.412,-9.856,243.565,-0.023,-0.302,-0.082,1
-23.087,-10.024,243.236,-0.021,-0.308,-0.083,1
-22.766,-10.182,242.955,-0.017,-0.311,-0.084,1
-22.452,-10.331,242.719,-0.011,-0.314,-0.085,1
-22.15,-10.484,242.51,-0.004,-0.315,-0.086,1
-21.865,-10.647,242.313,0.003,-0.317,-0.088,1
-21.596,-10.809,242.128,0.008,-0.319,-0.089,1
-21.342,-10.966,241.965,0.008,-0.317,-0.087,1
-21.112,-11.128,241.834,0.007,-0.309,-0.084,1
-20.913,-11.296,241.74,0.007,-0.297,-0.082,1
-20.748,-11.464,241.687,0.006,-0.282,-0.081,1
-20.617,-11.628,241.675,0.004,-0.267,-0.079,1
-20.516,-11.793,241.706,0.003,-0.251,-0.076,1
-20.449,-11.963,241.772,0.003,-0.234,-0.074,1
-20.413,-12.138,241.861,0.002,-0.214,-0.072,1
-20.402,-12.306,241.967,0.001,-0.193,-0.07,1
-20.414,-12.465,242.094,-0.002,-0.171,-0.066,1
-20.454,-12.622,242.246,-0.006,-0.146,-0.062,1
-20.526,-12.788,242.417,-0.01,-0.12,-0.06,1
-20.629,-12.959,242.602,-0.011,-0.095,-0.058,1
-20.754,-13.121,242.797,-0.009,-0.071,-0.056,1
-20.901,-13.268,242.999,-0.008,-0.048,-0.053,1
-21.069,-13.411,243.203,-0.007,-0.026,-0.049,1
-21.263,-13.556,243.4,-0.007,-0.004,-0.045,1
-21.478,-13.697,243.581,-0.009,0.018,-0.042,1
-21.71,-13.827,243.752,-0.012,0.038,-0.042,1
-21.958,-13.949,243.921,-0.016,0.055,-0.045,1
-22.227,-14.074,244.096,-0.018,0.067,-0.047,1
-22.521,-14.206,244.266,-0.016,0.078,-0.046,1
-22.838,-14.341,244.433,-0.013,0.087,-0.046,1
-23.17,-14.47,244.601,-0.008,0.094,-0.045,1
-23.515,-14.592,244.772,-0.005,0.1,-0.041,1
-23.872,-14.714,244.942,-0.006,0.106,-0.036,1
-24.242,-14.838,245.11,-0.007,0.115,-0.033,1
-24.622,-14.959,245.286,-0.009,0.128,-0.032,1
-25.006,-15.065,245.482,-0.01,0.14,-0.029,1
-25.393,-15.154,245.698,-0.01,0.151,-0.028,1
-25.784,-15.234,245.929,-0.007,0.161,-0.028,1
-26.179,-15.309,246.166,0,0.172,-0.027,1
-26.577,-15.377,246.404,0.006,0.182,-0.025,1
-26.975,-15.437,246.643,0.011,0.191,-0.023,1
-27.371,-15.489,246.885,0.016,0.2,-0.02,1
-27.766,-15.537,247.13,0.02,0.208,-0.016,1
-28.16,-15.586,247.38,0.023,0.215,-0.014,1
-28.555,-15.641,247.639,0.027,0.22,-0.015,1
-28.949,-15.701,247.904,0.03,0.225,-0.016,1
-29.342,-15.766,248.176,0.031,0.233,-0.019,1
-29.731,-15.838,248.456,0.033,0.243,-0.021,1
-30.118,-15.926,248.748,0.038,0.252,-0.021,1
-30.504,-16.032,249.047,0.045,0.26,-0.02,1
-30.887,-16.158,249.348,0.05,0.267,-0.017,1
-31.265,-16.304,249.642,0.053,0.273,-0.014,1
-31.636,-16.468,249.926,0.055,0.278,-0.013,1
-32.001,-16.653,250.202,0.059,0.285,-0.015,1
-32.361,-16.857,250.467,0.063,0.292,-0.02,1
-32.713,-17.078,250.722,0.068,0.301,-0.024,1
-33.053,-17.308,250.97,0.073,0.314,-0.025,1
-33.38,-17.543,251.212,0.078,0.324,-0.021,1
-33.694,-17.787,251.444,0.081,0.332,-0.015,1
-33.994,-18.051,251.669,0.082,0.336,-0.011,1
-34.279,-18.341,251.892,0.082,0.338,-0.006,1
-34.544,-18.65,252.11,0.082,0.34,0,1
-34.783,-18.976,252.325,0.082,0.343,0.009,1
-34.988,-19.313,252.539,0.082,0.343,0.019,1
-35.154,-19.655,252.746,0.082,0.34,0.027,1
-35.281,-20.005,252.933,0.082,0.333,0.032,1
-35.37,-20.368,253.101,0.081,0.324,0.034,1
-35.422,-20.745,253.254,0.08,0.315,0.037,1
-35.436,-21.132,253.4,0.08,0.305,0.043,1
-35.408,-21.52,253.549,0.078,0.293,0.05,1
-35.335,-21.899,253.694,0.074,0.279,0.057,1
-35.218,-22.268,253.827,0.07,0.265,0.063,1
-35.06,-22.635,253.941,0.066,0.25,0.066,1
-34.86,-23.008,254.044,0.061,0.23,0.068,1
-34.621,-23.39,254.134,0.055,0.208,0.07,1
-34.345,-23.774,254.209,0.049,0.184,0.072,1
-34.031,-24.158,254.277,0.041,0.162,0.075,1
-33.685,-24.54,254.341,0.036,0.143,0.08,1
-33.31,-24.915,254.4,0.032,0.125,0.084,1
-32.906,-25.284,254.461,0.03,0.108,0.086,1
-32.478,-25.653,254.523,0.028,0.09,0.086,1
-32.028,-26.02,254.577,0.025,0.073,0.085,1
-31.56,-26.38,254.624,0.021,0.054,0.083,1
-31.071,-26.728,254.665,0.015,0.036,0.081,1
-30.566,-27.066,254.7,0.006,0.021,0.08,1
-30.053,-27.397,254.724,-0.004,0.008,0.08,1
-29.541,-27.719,254.729,-0.011,-0.003,0.08,1
-29.032,-28.025,254.711,-0.016,-0.016,0.081,1
-28.518,-28.31,254.665,-0.017,-0.027,0.081,1
-27.995,-28.574,254.585,-0.017,-0.037,0.08,1
-27.459,-28.824,254.478,-0.016,-0.048,0.081,1
-26.915,-29.065,254.34,-0.019,-0.06,0.082,1
-26.372,-29.305,254.154,-0.024,-0.075,0.08,1
-25.834,-29.536,253.918,-0.03,-0.086,0.078,1
-25.299,-29.747,253.622,-0.037,-0.092,0.077,1
-24.771,-29.938,253.263,-0.042,-0.097,0.074,1
-24.243,-30.11,252.846,-0.046,-0.104,0.072,1
-23.716,-30.267,252.38,-0.05,-0.113,0.07,1
-23.195,-30.427,251.877,-0.053,-0.122,0.07,1
-22.684,-30.596,251.349,-0.056,-0.13,0.07,1
-22.188,-30.757,250.786,-0.058,-0.139,0.069,1
-21.707,-30.885,250.178,-0.055,-0.148,0.065,1
-21.245,-30.949,249.536,-0.05,-0.157,0.062,1
-20.804,-30.948,248.86,-0.046,-0.164,0.059,1
-20.38,-30.92,248.185,-0.043,-0.171,0.056,1
-19.967,-30.898,247.588,-0.041,-0.176,0.056,1
-19.568,-30.88,247.096,-0.042,-0.181,0.056,1
-19.187,-30.852,246.676,-0.045,-0.186,0.055,1
-18.824,-30.83,246.303,-0.046,-0.192,0.054,1
-18.48,-30.835,246.001,-0.042,-0.197,0.053,1
-18.167,-30.858,245.793,-0.039,-0.204,0.052,1
-17.89,-30.893,245.654,-0.037,-0.211,0.052,1
-17.645,-30.936,245.547,-0.037,-0.219,0.054,1
-17.434,-30.965,245.474,-0.036,-0.227,0.055,1
-17.261,-30.967,245.451,-0.034,-0.234,0.056,1
